TypeAnomaly,Severity,City,DetectionDateTime
Excessive Wind,High,Arco,2012-01-21T20:18:16
Excessive Wind,Low,Telve,2012-01-22T12:24:15
Too Cold Temperature,Low,Cavalese,2012-01-22T03:52:59
Excessive Precipitation,Critical,Rovereto,2012-01-22T20:35:34
Excessive Precipitation,Medium,Predazzo,2012-01-23T20:12:17
Prolonged Low Precipitation,Critical,Cavalese,2012-01-24T13:17:10
Too Hot Temperature,High,Tenno,2012-01-24T14:25:18
Too Cold Temperature,Medium,Predazzo,2012-01-25T07:50:40
Too Hot Temperature,Critical,Povo,2012-01-27T10:00:10
Excessive Precipitation,Critical,Povo,2012-01-28T06:36:50
Too Hot Temperature,Critical,Cavalese,2012-01-28T00:32:33
Solid Precipitation,Low,Rovereto,2012-01-28T18:49:02
Too Cold Temperature,High,Povo,2012-01-29T07:48:11
Too Cold Temperature,Low,Povo,2012-01-29T16:33:00
Reduced Visibility,High,Lavarone,2012-02-01T11:12:59
Too Cold Temperature,Critical,Trento,2012-02-01T14:21:57
Too Hot Temperature,Low,Mezzana,2012-02-01T21:39:56
Excessive Wind,Critical,Mezzana,2012-02-02T02:09:18
Too Cold Temperature,High,Tenno,2012-02-02T19:11:26
Excessive Wind,Medium,Trento,2012-02-04T16:24:00
Excessive Precipitation,High,Povo,2012-02-05T01:36:54
Too Hot Temperature,Low,Rovereto,2012-02-05T22:23:27
Excessive Wind,Low,Telve,2012-02-05T20:54:45
Solid Precipitation,Low,Povo,2012-02-06T03:35:50
Too Cold Temperature,High,Arco,2012-02-07T17:51:21
Excessive Wind,High,Telve,2012-02-07T01:46:38
Reduced Visibility,Low,Tenno,2012-02-07T11:50:54
Solid Precipitation,Critical,Lavarone,2012-02-08T16:45:15
Reduced Visibility,Critical,Mezzana,2012-02-08T23:11:23
Too Hot Temperature,Critical,Predazzo,2012-02-09T00:44:02
Too Hot Temperature,High,Povo,2012-02-10T07:27:30
Solid Precipitation,High,Telve,2012-02-12T11:45:10
Prolonged Low Precipitation,Low,Telve,2012-02-13T00:16:58
Excessive Wind,Medium,Cavalese,2012-02-15T00:26:51
Reduced Visibility,Low,Lavarone,2012-02-15T15:16:32
Reduced Visibility,Medium,Povo,2012-02-16T03:02:36
Excessive Precipitation,Critical,Arco,2012-02-17T03:37:43
Too Cold Temperature,Critical,Povo,2012-02-18T12:10:51
Too Cold Temperature,Medium,Povo,2012-02-18T04:04:14
Excessive Wind,Critical,Predazzo,2012-02-18T00:49:13
Excessive Wind,High,Cavalese,2012-02-19T08:39:27
Reduced Visibility,Critical,Mezzana,2012-02-21T08:39:43
Reduced Visibility,Low,Telve,2012-02-21T13:24:41
Too Cold Temperature,Critical,Trento,2012-02-21T14:37:17
Prolonged Low Precipitation,Critical,Predazzo,2012-02-22T13:59:11
Reduced Visibility,Low,Arco,2012-02-22T05:48:19
Excessive Precipitation,Critical,Rovereto,2012-02-22T19:15:05
Too Hot Temperature,High,Rovereto,2012-02-24T18:06:03
Solid Precipitation,Low,Trento,2012-02-25T01:06:58
Prolonged Low Precipitation,Low,Lavarone,2012-02-27T10:43:24
Excessive Precipitation,Low,Povo,2012-02-27T02:24:19
Solid Precipitation,Medium,Predazzo,2012-02-29T03:28:22
Reduced Visibility,Low,Predazzo,2012-02-29T04:06:02
Reduced Visibility,Medium,Trento,2012-03-01T17:00:19
Excessive Precipitation,Critical,Rovereto,2012-03-02T14:02:43
Too Hot Temperature,Low,Mezzana,2012-03-02T10:44:04
Too Hot Temperature,High,Mezzana,2012-03-02T21:35:30
Excessive Wind,High,Predazzo,2012-03-03T11:14:00
Prolonged Low Precipitation,Low,Arco,2012-03-04T03:46:09
Prolonged Low Precipitation,Critical,Mezzana,2012-03-04T08:05:40
Excessive Wind,Critical,Tenno,2012-03-04T22:11:58
Too Hot Temperature,High,Tenno,2012-03-05T10:25:47
Prolonged Low Precipitation,Medium,Trento,2012-03-06T06:57:19
Too Cold Temperature,Low,Mezzana,2012-03-07T23:49:29
Reduced Visibility,High,Predazzo,2012-03-07T13:03:38
Prolonged Low Precipitation,High,Mezzana,2012-03-09T18:50:14
Solid Precipitation,High,Arco,2012-03-09T05:27:09
Too Hot Temperature,Critical,Cavalese,2012-03-12T10:45:23
Excessive Precipitation,Low,Lavarone,2012-03-13T06:35:59
Too Cold Temperature,Medium,Telve,2012-03-15T16:20:43
Prolonged Low Precipitation,Medium,Povo,2012-03-16T01:14:12
Solid Precipitation,Medium,Cavalese,2012-03-16T08:59:03
Excessive Precipitation,Low,Arco,2012-03-16T16:26:14
Prolonged Low Precipitation,Low,Predazzo,2012-03-17T00:53:42
Prolonged Low Precipitation,Low,Trento,2012-03-17T21:19:49
Too Hot Temperature,High,Telve,2012-03-17T09:23:33
Prolonged Low Precipitation,Medium,Tenno,2012-03-18T10:05:20
Too Hot Temperature,Low,Trento,2012-03-18T19:39:09
Prolonged Low Precipitation,Medium,Arco,2012-03-20T13:56:10
Too Hot Temperature,High,Cavalese,2012-03-20T13:45:37
Too Hot Temperature,Critical,Predazzo,2012-03-20T11:34:25
Excessive Wind,High,Arco,2012-03-21T08:19:06
Too Cold Temperature,Medium,Arco,2012-03-21T19:49:19
Excessive Precipitation,Low,Lavarone,2012-03-21T12:26:54
Solid Precipitation,Critical,Tenno,2012-03-22T21:51:08
Excessive Precipitation,High,Trento,2012-03-23T15:21:51
Prolonged Low Precipitation,Low,Mezzana,2012-03-23T02:56:18
Too Cold Temperature,Medium,Rovereto,2012-03-23T15:39:01
Prolonged Low Precipitation,Medium,Mezzana,2012-03-24T18:42:10
Excessive Wind,Low,Trento,2012-03-24T06:31:51
Too Cold Temperature,High,Lavarone,2012-03-24T07:32:36
Solid Precipitation,High,Trento,2012-03-25T15:01:04
Solid Precipitation,High,Predazzo,2012-03-25T16:54:20
Prolonged Low Precipitation,Medium,Trento,2012-03-25T06:39:18
Excessive Precipitation,Low,Telve,2012-03-27T07:58:33
Reduced Visibility,Low,Predazzo,2012-03-27T20:21:35
Reduced Visibility,High,Cavalese,2012-03-28T02:16:45
Reduced Visibility,Low,Povo,2012-03-28T03:55:27
Too Cold Temperature,Critical,Lavarone,2012-03-28T10:22:35
Reduced Visibility,Medium,Telve,2012-03-29T18:31:20
Excessive Wind,High,Mezzana,2012-03-29T03:59:41
Solid Precipitation,Critical,Arco,2012-03-29T00:35:57
Solid Precipitation,Medium,Povo,2012-03-30T14:32:25
Excessive Precipitation,Critical,Povo,2012-03-30T09:39:57
Excessive Precipitation,Critical,Mezzana,2012-03-30T00:28:44
Excessive Wind,High,Trento,2012-03-31T18:03:06
Prolonged Low Precipitation,High,Predazzo,2012-04-01T03:56:08
Excessive Precipitation,Critical,Lavarone,2012-04-01T15:52:54
Too Hot Temperature,High,Trento,2012-04-01T04:21:12
Excessive Wind,Critical,Trento,2012-04-02T11:42:33
Excessive Wind,Medium,Tenno,2012-04-02T07:33:50
Prolonged Low Precipitation,High,Telve,2012-04-03T00:44:31
Excessive Precipitation,High,Povo,2012-04-03T18:35:31
Too Hot Temperature,Medium,Arco,2012-04-05T08:26:48
Too Hot Temperature,High,Mezzana,2012-04-05T22:29:33
Prolonged Low Precipitation,Critical,Telve,2012-04-05T11:05:56
Reduced Visibility,Low,Cavalese,2012-04-06T10:00:13
Excessive Precipitation,Critical,Rovereto,2012-04-06T11:02:01
Too Cold Temperature,Medium,Mezzana,2012-04-06T10:53:40
Too Hot Temperature,High,Tenno,2012-04-07T11:38:55
Prolonged Low Precipitation,Critical,Trento,2012-04-08T10:14:10
Too Cold Temperature,High,Telve,2012-04-08T02:05:05
Excessive Precipitation,Medium,Predazzo,2012-04-08T20:59:39
Too Cold Temperature,Low,Mezzana,2012-04-09T23:48:06
Reduced Visibility,Medium,Povo,2012-04-09T18:37:41
Reduced Visibility,Critical,Tenno,2012-04-10T05:09:02
Too Hot Temperature,High,Arco,2012-04-10T03:37:22
Too Cold Temperature,Low,Predazzo,2012-04-10T07:23:40
Excessive Wind,Critical,Telve,2012-04-11T06:53:11
Excessive Precipitation,Low,Lavarone,2012-04-12T04:09:03
Reduced Visibility,Low,Rovereto,2012-04-13T03:34:13
Excessive Wind,Medium,Cavalese,2012-04-13T10:06:49
Reduced Visibility,Low,Mezzana,2012-04-13T18:47:15
Excessive Wind,High,Tenno,2012-04-14T23:19:26
Excessive Wind,High,Tenno,2012-04-15T03:21:38
Too Cold Temperature,High,Arco,2012-04-15T19:24:43
Too Hot Temperature,High,Telve,2012-04-16T01:28:25
Too Cold Temperature,Low,Rovereto,2012-04-16T23:22:44
Too Hot Temperature,Low,Povo,2012-04-18T00:59:26
Reduced Visibility,High,Lavarone,2012-04-19T03:38:49
Too Cold Temperature,Medium,Tenno,2012-04-19T16:47:31
Reduced Visibility,Critical,Cavalese,2012-04-20T12:02:05
Too Cold Temperature,Medium,Tenno,2012-04-20T22:27:51
Excessive Precipitation,Critical,Tenno,2012-04-21T01:04:38
Excessive Precipitation,Low,Mezzana,2012-04-21T05:31:11
Prolonged Low Precipitation,Critical,Trento,2012-04-22T06:05:37
Solid Precipitation,Critical,Predazzo,2012-04-24T15:15:19
Too Hot Temperature,Low,Telve,2012-04-25T09:53:16
Too Cold Temperature,Critical,Cavalese,2012-04-26T22:15:22
Reduced Visibility,Low,Povo,2012-04-29T14:06:53
Prolonged Low Precipitation,Critical,Predazzo,2012-04-29T07:29:37
Solid Precipitation,Critical,Rovereto,2012-05-01T05:31:31
Too Hot Temperature,Medium,Mezzana,2012-05-01T03:22:09
Excessive Precipitation,Critical,Telve,2012-05-01T23:00:35
Too Cold Temperature,Medium,Cavalese,2012-05-02T02:37:19
Prolonged Low Precipitation,Medium,Cavalese,2012-05-02T16:30:00
Excessive Precipitation,Critical,Rovereto,2012-05-02T18:20:42
Reduced Visibility,Low,Cavalese,2012-05-03T17:56:24
Reduced Visibility,Medium,Tenno,2012-05-03T09:53:21
Reduced Visibility,Low,Predazzo,2012-05-04T11:03:09
Prolonged Low Precipitation,High,Tenno,2012-05-04T13:02:14
Excessive Wind,Medium,Rovereto,2012-05-05T03:06:32
Solid Precipitation,Low,Cavalese,2012-05-05T17:47:09
Excessive Wind,Medium,Telve,2012-05-05T10:52:55
Reduced Visibility,Low,Predazzo,2012-05-06T15:28:49
Prolonged Low Precipitation,Low,Rovereto,2012-05-06T21:59:38
Too Cold Temperature,Medium,Cavalese,2012-05-06T04:48:49
Solid Precipitation,Medium,Rovereto,2012-05-07T01:56:03
Too Hot Temperature,High,Trento,2012-05-07T18:28:01
Prolonged Low Precipitation,Medium,Trento,2012-05-10T06:12:01
Excessive Wind,Low,Cavalese,2012-05-11T06:58:29
Excessive Precipitation,High,Rovereto,2012-05-12T04:51:57
Prolonged Low Precipitation,Medium,Telve,2012-05-13T05:17:03
Solid Precipitation,High,Tenno,2012-05-15T17:04:21
Excessive Precipitation,High,Cavalese,2012-05-15T07:21:41
Excessive Wind,Low,Lavarone,2012-05-16T22:46:10
Prolonged Low Precipitation,Critical,Cavalese,2012-05-16T04:04:56
Too Hot Temperature,Medium,Lavarone,2012-05-18T23:22:20
Excessive Wind,High,Povo,2012-05-18T20:07:04
Too Cold Temperature,High,Mezzana,2012-05-18T01:01:01
Solid Precipitation,Low,Rovereto,2012-05-19T01:51:09
Too Cold Temperature,Critical,Predazzo,2012-05-19T23:41:52
Excessive Wind,Low,Povo,2012-05-20T11:04:14
Too Cold Temperature,Critical,Mezzana,2012-05-20T09:39:00
Excessive Precipitation,High,Telve,2012-05-20T10:09:36
Excessive Precipitation,Medium,Lavarone,2012-05-21T13:51:59
Excessive Wind,Low,Predazzo,2012-05-22T01:57:21
Prolonged Low Precipitation,Critical,Telve,2012-05-25T06:25:08
Excessive Precipitation,Low,Arco,2012-05-25T20:17:05
Reduced Visibility,Critical,Rovereto,2012-05-25T23:29:45
Too Cold Temperature,Critical,Predazzo,2012-05-26T12:45:19
Reduced Visibility,Critical,Povo,2012-05-26T11:29:11
Solid Precipitation,High,Tenno,2012-05-28T09:20:02
Excessive Precipitation,Critical,Lavarone,2012-05-31T22:57:49
Excessive Wind,Low,Cavalese,2012-05-31T20:08:56
Too Cold Temperature,Medium,Povo,2012-05-31T19:46:37
Solid Precipitation,Low,Cavalese,2012-06-04T13:44:38
Excessive Wind,Critical,Telve,2012-06-05T23:43:59
Too Cold Temperature,Low,Telve,2012-06-05T12:15:36
Excessive Wind,Critical,Tenno,2012-06-05T03:00:20
Excessive Precipitation,Low,Lavarone,2012-06-07T21:42:44
Too Hot Temperature,Low,Predazzo,2012-06-07T06:25:13
Excessive Wind,Critical,Trento,2012-06-09T11:34:18
Excessive Wind,Medium,Povo,2012-06-09T05:58:37
Excessive Wind,Medium,Mezzana,2012-06-10T08:39:07
Reduced Visibility,Low,Arco,2012-06-11T12:25:47
Solid Precipitation,Low,Cavalese,2012-06-11T12:22:59
Excessive Wind,Medium,Arco,2012-06-12T11:39:35
Excessive Precipitation,Critical,Predazzo,2012-06-12T22:43:03
Too Hot Temperature,Critical,Lavarone,2012-06-13T10:00:03
Too Hot Temperature,Medium,Telve,2012-06-13T20:03:22
Excessive Precipitation,High,Tenno,2012-06-13T22:53:29
Solid Precipitation,High,Povo,2012-06-14T17:38:12
Excessive Precipitation,Critical,Cavalese,2012-06-14T00:56:16
Excessive Precipitation,Low,Predazzo,2012-06-14T17:37:45
Excessive Wind,Critical,Mezzana,2012-06-15T18:55:27
Excessive Wind,Medium,Arco,2012-06-16T18:43:08
Reduced Visibility,High,Telve,2012-06-17T23:57:57
Excessive Wind,Critical,Lavarone,2012-06-17T02:14:02
Too Hot Temperature,Low,Rovereto,2012-06-17T22:01:57
Too Hot Temperature,High,Lavarone,2012-06-18T06:02:13
Excessive Precipitation,Critical,Predazzo,2012-06-18T04:57:45
Excessive Wind,Low,Cavalese,2012-06-18T16:41:18
Prolonged Low Precipitation,High,Cavalese,2012-06-19T15:15:48
Prolonged Low Precipitation,Critical,Cavalese,2012-06-19T01:15:38
Prolonged Low Precipitation,Critical,Mezzana,2012-06-20T02:04:14
Prolonged Low Precipitation,Low,Rovereto,2012-06-20T22:37:46
Reduced Visibility,Critical,Povo,2012-06-21T01:29:10
Too Hot Temperature,Medium,Rovereto,2012-06-21T13:45:00
Reduced Visibility,Low,Rovereto,2012-06-21T12:23:53
Excessive Wind,High,Arco,2012-06-22T02:57:14
Solid Precipitation,Critical,Cavalese,2012-06-22T20:04:44
Reduced Visibility,Low,Povo,2012-06-24T23:06:57
Reduced Visibility,Low,Cavalese,2012-06-24T15:46:30
Excessive Wind,Medium,Tenno,2012-06-24T11:49:32
Too Hot Temperature,Critical,Telve,2012-06-25T07:25:53
Too Cold Temperature,High,Trento,2012-06-25T02:30:43
Reduced Visibility,Medium,Povo,2012-06-25T21:36:18
Too Cold Temperature,Low,Lavarone,2012-06-26T19:43:41
Too Cold Temperature,Medium,Rovereto,2012-06-26T09:53:47
Solid Precipitation,Low,Rovereto,2012-06-26T09:49:40
Too Cold Temperature,Low,Telve,2012-06-27T03:52:02
Reduced Visibility,Critical,Predazzo,2012-06-27T11:27:04
Too Hot Temperature,High,Tenno,2012-06-27T04:58:09
Excessive Wind,Low,Telve,2012-06-28T02:12:47
Excessive Wind,Critical,Cavalese,2012-06-30T07:30:39
Excessive Wind,High,Telve,2012-06-30T03:07:14
Prolonged Low Precipitation,Low,Arco,2012-07-01T16:50:01
Too Cold Temperature,Low,Telve,2012-07-02T14:29:30
Too Cold Temperature,Medium,Telve,2012-07-02T04:10:50
Too Cold Temperature,High,Tenno,2012-07-02T15:09:23
Too Cold Temperature,Low,Cavalese,2012-07-03T17:04:40
Excessive Wind,Low,Povo,2012-07-04T04:57:41
Excessive Wind,High,Lavarone,2012-07-04T09:45:43
Reduced Visibility,Low,Povo,2012-07-04T19:45:23
Solid Precipitation,High,Lavarone,2012-07-08T04:23:14
Solid Precipitation,High,Lavarone,2012-07-08T11:25:47
Excessive Wind,Medium,Rovereto,2012-07-09T14:31:03
Too Hot Temperature,Critical,Predazzo,2012-07-09T05:44:44
Solid Precipitation,Critical,Tenno,2012-07-09T10:16:50
Excessive Precipitation,Low,Arco,2012-07-11T03:24:05
Reduced Visibility,Low,Telve,2012-07-11T01:25:09
Prolonged Low Precipitation,High,Cavalese,2012-07-11T21:40:20
Prolonged Low Precipitation,Medium,Rovereto,2012-07-12T00:05:24
Too Hot Temperature,High,Trento,2012-07-13T10:18:38
Excessive Wind,Medium,Cavalese,2012-07-13T04:40:57
Too Hot Temperature,Medium,Predazzo,2012-07-14T21:09:41
Too Hot Temperature,Critical,Tenno,2012-07-15T22:28:43
Prolonged Low Precipitation,High,Cavalese,2012-07-17T08:19:12
Excessive Wind,Medium,Predazzo,2012-07-17T10:20:12
Prolonged Low Precipitation,Low,Arco,2012-07-17T01:36:40
Excessive Precipitation,Medium,Tenno,2012-07-18T00:01:02
Too Hot Temperature,High,Arco,2012-07-22T22:10:49
Too Cold Temperature,High,Lavarone,2012-07-22T10:37:25
Excessive Wind,Critical,Trento,2012-07-23T19:49:11
Too Cold Temperature,Low,Telve,2012-07-24T11:12:39
Prolonged Low Precipitation,Low,Lavarone,2012-07-25T03:23:32
Excessive Precipitation,Low,Telve,2012-07-25T01:42:00
Reduced Visibility,Critical,Lavarone,2012-07-25T14:44:08
Excessive Wind,Medium,Telve,2012-07-26T11:10:13
Excessive Precipitation,High,Rovereto,2012-07-27T08:54:52
Solid Precipitation,Critical,Mezzana,2012-07-27T14:39:51
Prolonged Low Precipitation,Critical,Lavarone,2012-07-28T18:22:36
Prolonged Low Precipitation,High,Predazzo,2012-07-29T06:41:13
Prolonged Low Precipitation,Critical,Arco,2012-07-31T09:17:14
Prolonged Low Precipitation,Low,Lavarone,2012-08-02T21:53:09
Prolonged Low Precipitation,High,Povo,2012-08-03T00:10:36
Too Hot Temperature,Low,Povo,2012-08-03T01:53:28
Reduced Visibility,Critical,Trento,2012-08-03T08:13:57
Excessive Precipitation,High,Predazzo,2012-08-04T10:37:09
Solid Precipitation,High,Lavarone,2012-08-04T19:56:03
Excessive Wind,High,Mezzana,2012-08-04T07:35:37
Too Cold Temperature,Low,Povo,2012-08-06T05:12:23
Excessive Wind,Low,Rovereto,2012-08-06T03:41:26
Reduced Visibility,Critical,Mezzana,2012-08-08T07:02:57
Solid Precipitation,Low,Telve,2012-08-08T11:02:09
Too Cold Temperature,Critical,Arco,2012-08-09T18:51:01
Prolonged Low Precipitation,Critical,Tenno,2012-08-09T11:52:00
Too Cold Temperature,Low,Telve,2012-08-09T01:16:30
Too Hot Temperature,Critical,Predazzo,2012-08-10T20:00:16
Excessive Wind,High,Arco,2012-08-10T22:43:07
Too Cold Temperature,Medium,Cavalese,2012-08-10T08:00:56
Prolonged Low Precipitation,Medium,Cavalese,2012-08-12T17:15:49
Too Cold Temperature,Critical,Tenno,2012-08-12T07:29:42
Too Cold Temperature,Medium,Predazzo,2012-08-13T08:28:09
Too Cold Temperature,High,Predazzo,2012-08-13T16:51:36
Too Hot Temperature,Medium,Tenno,2012-08-14T12:20:28
Excessive Precipitation,High,Mezzana,2012-08-14T19:06:09
Reduced Visibility,High,Cavalese,2012-08-14T06:52:27
Too Hot Temperature,Medium,Telve,2012-08-15T22:39:08
Too Hot Temperature,Low,Povo,2012-08-15T13:28:10
Solid Precipitation,High,Lavarone,2012-08-15T10:42:54
Too Hot Temperature,Critical,Predazzo,2012-08-17T20:01:32
Solid Precipitation,Critical,Mezzana,2012-08-17T03:20:36
Solid Precipitation,Critical,Mezzana,2012-08-17T12:32:09
Too Cold Temperature,High,Mezzana,2012-08-18T21:25:08
Too Cold Temperature,Low,Tenno,2012-08-18T06:35:05
Too Cold Temperature,Medium,Povo,2012-08-18T01:11:46
Excessive Precipitation,Medium,Telve,2012-08-19T12:51:41
Prolonged Low Precipitation,Medium,Arco,2012-08-19T01:44:53
Prolonged Low Precipitation,Low,Telve,2012-08-19T03:43:29
Excessive Wind,High,Mezzana,2012-08-20T01:58:53
Too Hot Temperature,Critical,Telve,2012-08-20T13:57:50
Prolonged Low Precipitation,High,Trento,2012-08-21T15:08:33
Reduced Visibility,Low,Telve,2012-08-21T06:11:49
Solid Precipitation,High,Povo,2012-08-21T17:15:50
Excessive Wind,Low,Telve,2012-08-22T02:16:37
Too Hot Temperature,High,Predazzo,2012-08-22T20:12:55
Prolonged Low Precipitation,Low,Trento,2012-08-23T11:47:38
Too Hot Temperature,Medium,Lavarone,2012-08-23T20:23:56
Reduced Visibility,Low,Lavarone,2012-08-23T14:51:38
Excessive Precipitation,High,Lavarone,2012-08-24T00:40:54
Excessive Precipitation,Low,Arco,2012-08-24T15:24:55
Prolonged Low Precipitation,Critical,Rovereto,2012-08-25T12:23:23
Excessive Wind,Critical,Trento,2012-08-26T12:22:17
Too Hot Temperature,Medium,Mezzana,2012-08-26T17:59:54
Reduced Visibility,Low,Lavarone,2012-08-27T03:39:41
Excessive Wind,High,Arco,2012-08-28T21:22:47
Prolonged Low Precipitation,High,Tenno,2012-08-28T23:49:06
Excessive Precipitation,Critical,Telve,2012-08-28T09:38:06
Too Cold Temperature,High,Trento,2012-08-29T15:08:29
Reduced Visibility,Critical,Mezzana,2012-08-29T23:56:01
Excessive Precipitation,High,Rovereto,2012-08-30T02:07:16
Too Hot Temperature,High,Mezzana,2012-08-31T19:34:27
Prolonged Low Precipitation,Critical,Arco,2012-08-31T13:20:18
Solid Precipitation,Critical,Arco,2012-09-01T12:32:19
Too Hot Temperature,Medium,Predazzo,2012-09-01T10:59:50
Excessive Precipitation,High,Trento,2012-09-01T04:47:36
Reduced Visibility,Critical,Rovereto,2012-09-02T07:15:58
Solid Precipitation,Medium,Telve,2012-09-05T07:57:35
Too Cold Temperature,Low,Telve,2012-09-05T14:12:45
Solid Precipitation,Critical,Lavarone,2012-09-05T12:51:33
Excessive Precipitation,High,Lavarone,2012-09-06T05:19:14
Excessive Wind,Medium,Cavalese,2012-09-06T02:31:12
Excessive Precipitation,Critical,Mezzana,2012-09-06T17:11:29
Excessive Precipitation,Medium,Arco,2012-09-07T12:46:46
Reduced Visibility,Low,Telve,2012-09-07T12:48:30
Reduced Visibility,Medium,Predazzo,2012-09-10T08:43:48
Excessive Wind,Medium,Povo,2012-09-10T01:46:15
Reduced Visibility,Low,Telve,2012-09-10T14:36:25
Reduced Visibility,High,Cavalese,2012-09-13T07:07:01
Solid Precipitation,Medium,Tenno,2012-09-19T23:32:41
Excessive Wind,Medium,Cavalese,2012-09-19T13:36:08
Solid Precipitation,High,Mezzana,2012-09-21T22:58:47
Excessive Wind,High,Lavarone,2012-09-24T12:47:52
Too Hot Temperature,Medium,Cavalese,2012-09-24T10:21:58
Too Cold Temperature,High,Lavarone,2012-09-25T06:57:04
Too Hot Temperature,Low,Trento,2012-09-25T02:59:28
Reduced Visibility,High,Cavalese,2012-09-25T06:41:37
Too Hot Temperature,Medium,Lavarone,2012-09-26T21:31:53
Excessive Wind,Critical,Povo,2012-09-26T12:36:43
Too Cold Temperature,Low,Trento,2012-09-26T16:53:38
Too Hot Temperature,Critical,Trento,2012-09-27T04:12:09
Prolonged Low Precipitation,High,Arco,2012-09-27T05:04:40
Prolonged Low Precipitation,Critical,Trento,2012-09-27T04:23:58
Too Cold Temperature,High,Rovereto,2012-09-28T00:22:40
Prolonged Low Precipitation,High,Arco,2012-09-28T00:02:01
Reduced Visibility,Medium,Tenno,2012-09-29T19:17:00
Reduced Visibility,High,Trento,2012-09-29T08:20:17
Reduced Visibility,Medium,Arco,2012-09-29T16:36:09
Solid Precipitation,Low,Rovereto,2012-10-01T05:49:18
Excessive Wind,Medium,Predazzo,2012-10-01T23:00:48
Excessive Wind,Critical,Tenno,2012-10-02T07:02:40
Too Cold Temperature,Low,Arco,2012-10-03T20:43:53
Excessive Precipitation,High,Tenno,2012-10-04T22:26:58
Excessive Wind,Low,Povo,2012-10-05T19:07:07
Too Cold Temperature,Low,Predazzo,2012-10-05T16:17:54
Excessive Wind,Critical,Telve,2012-10-06T16:08:01
Too Cold Temperature,Low,Mezzana,2012-10-07T05:40:53
Too Hot Temperature,Medium,Trento,2012-10-07T12:39:15
Too Cold Temperature,Critical,Rovereto,2012-10-08T04:34:05
Excessive Precipitation,High,Rovereto,2012-10-09T02:10:06
Excessive Wind,Critical,Mezzana,2012-10-11T13:39:20
Solid Precipitation,High,Cavalese,2012-10-11T09:44:25
Reduced Visibility,Medium,Rovereto,2012-10-12T07:58:28
Too Cold Temperature,High,Arco,2012-10-12T07:02:15
Excessive Precipitation,High,Tenno,2012-10-13T23:36:43
Too Hot Temperature,Medium,Rovereto,2012-10-16T03:31:18
Too Cold Temperature,Medium,Cavalese,2012-10-16T08:29:56
Excessive Precipitation,Medium,Tenno,2012-10-17T13:25:34
Too Cold Temperature,High,Predazzo,2012-10-17T00:30:40
Excessive Wind,Critical,Rovereto,2012-10-17T13:53:29
Excessive Wind,Low,Predazzo,2012-10-20T00:58:12
Excessive Wind,Critical,Cavalese,2012-10-20T08:30:49
Excessive Precipitation,High,Trento,2012-10-20T16:08:07
Prolonged Low Precipitation,High,Rovereto,2012-10-21T22:25:08
Solid Precipitation,Medium,Arco,2012-10-21T08:37:25
Excessive Precipitation,Critical,Lavarone,2012-10-21T07:10:48
Solid Precipitation,Critical,Arco,2012-10-23T06:53:40
Too Hot Temperature,Critical,Tenno,2012-10-23T15:09:38
Too Cold Temperature,Medium,Telve,2012-10-23T00:32:38
Excessive Precipitation,High,Rovereto,2012-10-24T16:40:00
Solid Precipitation,Critical,Predazzo,2012-10-26T21:59:24
Excessive Precipitation,Medium,Cavalese,2012-10-26T16:53:31
Solid Precipitation,High,Lavarone,2012-10-26T04:40:58
Reduced Visibility,Low,Povo,2012-10-28T04:00:09
Reduced Visibility,Medium,Mezzana,2012-10-29T08:53:51
Too Hot Temperature,Critical,Rovereto,2012-10-29T08:09:29
Prolonged Low Precipitation,Critical,Telve,2012-10-29T07:46:50
Reduced Visibility,Low,Trento,2012-10-30T09:34:34
Solid Precipitation,Low,Tenno,2012-10-30T22:05:45
Excessive Precipitation,High,Telve,2012-10-30T02:01:28
Too Hot Temperature,Low,Arco,2012-10-31T00:46:45
Too Hot Temperature,Medium,Telve,2012-10-31T05:58:42
Too Cold Temperature,Low,Predazzo,2012-11-02T22:42:55
Prolonged Low Precipitation,Critical,Cavalese,2012-11-02T20:11:33
Excessive Wind,Low,Tenno,2012-11-02T04:59:20
Too Cold Temperature,Low,Arco,2012-11-05T01:33:53
Excessive Precipitation,High,Trento,2012-11-05T12:43:11
Excessive Precipitation,Critical,Lavarone,2012-11-06T04:41:27
Excessive Wind,High,Tenno,2012-11-06T15:08:25
Excessive Wind,High,Predazzo,2012-11-06T02:27:58
Solid Precipitation,Medium,Arco,2012-11-07T13:46:55
Solid Precipitation,High,Tenno,2012-11-07T03:41:10
Prolonged Low Precipitation,High,Mezzana,2012-11-07T17:05:59
Solid Precipitation,High,Povo,2012-11-08T16:21:45
Excessive Precipitation,Medium,Tenno,2012-11-08T23:42:46
Prolonged Low Precipitation,Low,Predazzo,2012-11-09T20:13:19
Prolonged Low Precipitation,High,Povo,2012-11-10T22:29:04
Excessive Wind,Critical,Povo,2012-11-10T12:19:39
Excessive Precipitation,Critical,Telve,2012-11-11T23:57:17
Solid Precipitation,Low,Telve,2012-11-11T12:56:07
Excessive Wind,Medium,Predazzo,2012-11-11T18:36:46
Prolonged Low Precipitation,Low,Mezzana,2012-11-15T17:25:35
Excessive Precipitation,Critical,Trento,2012-11-15T16:12:03
Reduced Visibility,Low,Predazzo,2012-11-15T06:45:50
Reduced Visibility,High,Lavarone,2012-11-16T00:43:19
Too Cold Temperature,Medium,Cavalese,2012-11-16T10:01:04
